timestamp,device_id,x,y,z,pitch,roll,acceleration,inclination
2024-11-09 00:20:30.227,83c8c23779fed513bf54b2caa651454b,0.04,-0.88,-0.5,2.49,-59.99,1.01,-87.12
2024-11-09 00:20:30.327,83c8c23779fed513bf54b2caa651454b,0.04,-0.86,-0.5,2.31,-59.43,0.99,-87.32
2024-11-09 00:20:30.427,83c8c23779fed513bf54b2caa651454b,0.04,-0.86,-0.5,2.29,-59.86,1,-87.35
2024-11-09 00:20:30.568,83c8c23779fed513bf54b2caa651454b,0.03,-0.83,-0.42,1.97,-63.37,0.93,-87.8
2024-11-09 00:20:30.628,83c8c23779fed513bf54b2caa651454b,0.04,-0.84,-0.3,2.82,-69.91,0.89,-87
2024-11-09 00:20:30.727,83c8c23779fed513bf54b2caa651454b,0.1,-0.94,-0.33,5.73,-69.75,1,-83.93
2024-11-09 00:20:30.827,83c8c23779fed513bf54b2caa651454b,0.05,-0.86,-0.36,3.2,-66.75,0.93,-86.52
2024-11-09 00:20:30.927,83c8c23779fed513bf54b2caa651454b,0,-0.93,-0.34,-0.23,-69.74,0.99,-90.25
2024-11-09 00:20:31.045,83c8c23779fed513bf54b2caa651454b,-0.01,-0.91,-0.3,-0.48,-71.79,0.96,-90.5
2024-11-09 00:20:31.128,83c8c23779fed513bf54b2caa651454b,-0.02,-0.89,-0.31,-1.21,-70.91,0.94,-91.28
2024-11-09 00:20:31.228,83c8c23779fed513bf54b2caa651454b,-0.01,-0.91,-0.26,-0.48,-73.78,0.95,-90.5
2024-11-09 00:20:31.328,83c8c23779fed513bf54b2caa651454b,0.02,-0.96,-0.25,0.92,-75.32,1,-89.05
2024-11-09 00:20:31.427,83c8c23779fed513bf54b2caa651454b,0.05,-0.98,-0.25,2.71,-75.39,1.02,-87.21
2024-11-09 00:20:31.546,83c8c23779fed513bf54b2caa651454b,0.06,-0.92,-0.26,3.6,-74.05,0.96,-86.27
2024-11-09 00:20:31.628,83c8c23779fed513bf54b2caa651454b,0.12,-0.94,-0.27,6.97,-72.72,0.99,-82.76
