timestamp,device_id,x,y,z,pitch,roll,acceleration,inclination
2024-11-12 16:50:11.523,83c8c23779fed513bf54b2caa651454b,0,-0.86,-0.45,-0.24,-62.27,0.97,-90.27
2024-11-12 16:50:11.643,83c8c23779fed513bf54b2caa651454b,-0.01,-0.89,-0.46,-0.46,-62.61,1,-90.52
2024-11-12 16:50:11.723,83c8c23779fed513bf54b2caa651454b,0,-0.88,-0.46,0,-62.5,0.99,-90
2024-11-12 16:50:11.823,83c8c23779fed513bf54b2caa651454b,0.01,-0.85,-0.47,0.71,-61.01,0.97,-89.19
2024-11-12 16:50:11.923,83c8c23779fed513bf54b2caa651454b,0,-0.87,-0.43,0.24,-63.75,0.97,-89.74
2024-11-12 16:50:12.023,83c8c23779fed513bf54b2caa651454b,0,-0.87,-0.45,-0.23,-62.6,0.98,-90.26
2024-11-12 16:50:12.124,83c8c23779fed513bf54b2caa651454b,0,-0.88,-0.47,-0.23,-62.1,1,-90.26
2024-11-12 16:50:12.223,83c8c23779fed513bf54b2caa651454b,0,-0.88,-0.47,0,-62.1,1,-90
2024-11-12 16:50:12.324,83c8c23779fed513bf54b2caa651454b,0,-0.88,-0.46,-0.23,-62.2,0.99,-90.26
2024-11-12 16:50:12.424,83c8c23779fed513bf54b2caa651454b,0,-0.87,-0.47,0,-61.78,0.99,-90
2024-11-12 16:50:12.540,83c8c23779fed513bf54b2caa651454b,0,-0.87,-0.46,0,-61.98,0.99,-90
2024-11-12 16:50:12.624,83c8c23779fed513bf54b2caa651454b,0,-0.87,-0.48,-0.23,-61.26,0.99,-90.26
2024-11-12 16:50:12.724,83c8c23779fed513bf54b2caa651454b,0,-0.87,-0.46,0,-62.29,0.98,-90
2024-11-12 16:50:12.824,83c8c23779fed513bf54b2caa651454b,0,-0.88,-0.48,-0.23,-61.5,1.01,-90.26
2024-11-12 16:50:12.924,83c8c23779fed513bf54b2caa651454b,0,-0.88,-0.47,-0.23,-61.68,1,-90.26
2024-11-12 16:50:13.024,83c8c23779fed513bf54b2caa651454b,0,-0.86,-0.47,0,-61.24,0.98,-90
2024-11-12 16:50:13.124,83c8c23779fed513bf54b2caa651454b,0,-0.88,-0.47,0,-61.89,0.99,-90
2024-11-12 16:50:13.224,83c8c23779fed513bf54b2caa651454b,0,-0.87,-0.48,-0.23,-61.26,0.99,-90.26
2024-11-12 16:50:13.329,83c8c23779fed513bf54b2caa651454b,0,-0.86,-0.46,-0.23,-61.76,0.98,-90.27
