timestamp,device_id,x,y,z,pitch,roll,acceleration,inclination
2024-10-02 17:14:29.292,83c8c23779fed513bf54b2caa651454b,0.01,-0.93,-0.26,0.48,-74.11,0.96,-89.51
2024-10-02 17:14:29.382,83c8c23779fed513bf54b2caa651454b,0.01,-0.93,-0.26,0.47,-74.41,0.97,-89.51
2024-10-02 17:14:29.483,83c8c23779fed513bf54b2caa651454b,0.06,-0.92,-0.26,3.6,-74.05,0.96,-86.27
2024-10-02 17:14:29.582,83c8c23779fed513bf54b2caa651454b,0.09,-0.87,-0.28,5.73,-71.1,0.92,-83.98
2024-10-02 17:14:29.682,83c8c23779fed513bf54b2caa651454b,0.13,-0.92,-0.3,7.73,-70.27,0.98,-81.87
2024-10-02 17:14:29.783,83c8c23779fed513bf54b2caa651454b,0.11,-0.91,-0.24,6.55,-73.62,0.95,-83.22
2024-10-02 17:14:29.883,83c8c23779fed513bf54b2caa651454b,0.08,-0.93,-0.24,4.54,-75.04,0.96,-85.32
2024-10-02 17:14:29.983,83c8c23779fed513bf54b2caa651454b,0.12,-0.95,-0.26,6.73,-73.28,0.99,-83.02
2024-10-02 17:14:30.083,83c8c23779fed513bf54b2caa651454b,0.06,-0.94,-0.24,3.79,-75.14,0.97,-86.09
2024-10-02 17:14:30.183,83c8c23779fed513bf54b2caa651454b,0.09,-0.94,-0.25,5.17,-74.36,0.98,-84.65
2024-10-02 17:14:30.283,83c8c23779fed513bf54b2caa651454b,0.07,-0.94,-0.25,4.23,-74.42,0.98,-85.62
2024-10-02 17:14:30.383,83c8c23779fed513bf54b2caa651454b,0.11,-0.92,-0.26,6.42,-73.05,0.97,-83.33
2024-10-02 17:14:30.583,83c8c23779fed513bf54b2caa651454b,0.08,-0.92,-0.24,4.8,-74.91,0.96,-85.05
2024-10-02 17:14:30.683,83c8c23779fed513bf54b2caa651454b,0.09,-0.91,-0.23,5.58,-74.7,0.95,-84.24
2024-10-02 17:14:30.785,83c8c23779fed513bf54b2caa651454b,0.09,-0.94,-0.23,5.41,-75.19,0.98,-84.43
