timestamp,device_id,x,y,z,pitch,roll,acceleration,inclination
2024-10-17 19:42:48.895,83c8c23779fed513bf54b2caa651454b,0,-0.85,-0.39,0,-65.41,0.93,-90
2024-10-17 19:42:49.002,83c8c23779fed513bf54b2caa651454b,-0.01,-0.85,-0.4,-0.49,-64.85,0.94,-90.54
2024-10-17 19:42:49.093,83c8c23779fed513bf54b2caa651454b,0,-0.85,-0.38,-0.25,-65.74,0.93,-90.27
2024-10-17 19:42:49.192,83c8c23779fed513bf54b2caa651454b,0,-0.86,-0.4,-0.24,-65.17,0.94,-90.27
2024-10-17 19:42:49.292,83c8c23779fed513bf54b2caa651454b,0,-0.83,-0.4,-0.25,-64.32,0.92,-90.28
2024-10-17 19:42:49.392,83c8c23779fed513bf54b2caa651454b,0.01,-0.85,-0.39,0.74,-65.18,0.93,-89.19
2024-10-17 19:42:49.503,83c8c23779fed513bf54b2caa651454b,0,-0.86,-0.38,-0.24,-66.06,0.94,-90.27
2024-10-17 19:42:49.592,83c8c23779fed513bf54b2caa651454b,0,-0.85,-0.38,0,-65.64,0.93,-90
2024-10-17 19:42:49.693,83c8c23779fed513bf54b2caa651454b,0.01,-0.84,-0.39,0.49,-64.98,0.93,-89.45
2024-10-17 19:42:49.793,83c8c23779fed513bf54b2caa651454b,0,-0.84,-0.4,0.25,-64.21,0.93,-89.73
2024-10-17 19:42:49.893,83c8c23779fed513bf54b2caa651454b,0.01,-0.86,-0.4,0.48,-65.27,0.95,-89.47
2024-10-17 19:42:50.001,83c8c23779fed513bf54b2caa651454b,0,-0.84,-0.4,-0.25,-64.65,0.93,-90.27
2024-10-17 19:42:50.093,83c8c23779fed513bf54b2caa651454b,-0.01,-0.87,-0.4,-0.48,-65.04,0.96,-90.53
2024-10-17 19:42:50.193,83c8c23779fed513bf54b2caa651454b,0,-0.86,-0.38,0,-66.26,0.94,-90
2024-10-17 19:42:50.293,83c8c23779fed513bf54b2caa651454b,0.03,-0.87,-0.34,1.72,-68.77,0.93,-88.15
2024-10-17 19:42:50.395,83c8c23779fed513bf54b2caa651454b,-0.01,-0.85,-0.4,-0.73,-64.84,0.94,-90.81
2024-10-17 19:42:50.501,83c8c23779fed513bf54b2caa651454b,0,-0.84,-0.39,0,-65.21,0.93,-90
2024-10-17 19:42:50.593,83c8c23779fed513bf54b2caa651454b,-0.01,-0.85,-0.41,-0.73,-64.4,0.94,-90.81
2024-10-17 19:42:50.693,83c8c23779fed513bf54b2caa651454b,0.01,-0.85,-0.41,0.49,-64.3,0.94,-89.46
2024-10-17 19:42:50.793,83c8c23779fed513bf54b2caa651454b,0,-0.85,-0.4,0.24,-64.97,0.94,-89.73
2024-10-17 19:42:50.893,83c8c23779fed513bf54b2caa651454b,0,-0.87,-0.4,0,-65.58,0.96,-90
2024-10-17 19:42:51.004,83c8c23779fed513bf54b2caa651454b,0.01,-0.85,-0.39,0.49,-65.19,0.93,-89.46
2024-10-17 19:42:51.107,83c8c23779fed513bf54b2caa651454b,0,-0.85,-0.4,0,-64.63,0.94,-90
2024-10-17 19:42:51.194,83c8c23779fed513bf54b2caa651454b,-0.02,-0.85,-0.39,-0.98,-65.28,0.94,-91.08
2024-10-17 19:42:51.294,83c8c23779fed513bf54b2caa651454b,-0.01,-0.85,-0.4,-0.49,-64.74,0.94,-90.54
2024-10-17 19:42:51.395,83c8c23779fed513bf54b2caa651454b,-0.01,-0.84,-0.4,-0.49,-64.53,0.93,-90.55
2024-10-17 19:42:51.520,83c8c23779fed513bf54b2caa651454b,0.01,-0.86,-0.38,0.49,-65.93,0.94,-89.47
2024-10-17 19:42:51.594,83c8c23779fed513bf54b2caa651454b,0,-0.86,-0.39,0.24,-65.62,0.94,-89.73
2024-10-17 19:42:51.694,83c8c23779fed513bf54b2caa651454b,-0.01,-0.86,-0.4,-0.48,-65.05,0.95,-90.53
2024-10-17 19:42:51.794,83c8c23779fed513bf54b2caa651454b,-0.01,-0.84,-0.41,-0.49,-63.98,0.94,-90.54
2024-10-17 19:42:51.895,83c8c23779fed513bf54b2caa651454b,0,-0.85,-0.4,0.24,-65.07,0.94,-89.73
2024-10-17 19:42:52.006,83c8c23779fed513bf54b2caa651454b,0,-0.84,-0.39,-0.25,-64.98,0.93,-90.27
2024-10-17 19:42:52.095,83c8c23779fed513bf54b2caa651454b,0.01,-0.86,-0.4,0.73,-64.94,0.94,-89.2
2024-10-17 19:42:52.195,83c8c23779fed513bf54b2caa651454b,-0.01,-0.85,-0.39,-0.74,-65.18,0.93,-90.81
2024-10-17 19:42:52.294,83c8c23779fed513bf54b2caa651454b,0.01,-0.84,-0.39,0.5,-65.2,0.93,-89.45
2024-10-17 19:42:52.394,83c8c23779fed513bf54b2caa651454b,-0.01,-0.87,-0.4,-0.48,-65.25,0.96,-90.53
2024-10-17 19:42:52.538,83c8c23779fed513bf54b2caa651454b,0,-0.85,-0.39,0.24,-65.29,0.94,-89.73
2024-10-17 19:42:52.595,83c8c23779fed513bf54b2caa651454b,0,-0.84,-0.39,-0.25,-65.09,0.93,-90.27
2024-10-17 19:42:52.695,83c8c23779fed513bf54b2caa651454b,0,-0.84,-0.41,-0.24,-63.87,0.94,-90.27
2024-10-17 19:42:52.795,83c8c23779fed513bf54b2caa651454b,0.01,-0.85,-0.4,0.49,-64.85,0.94,-89.46
2024-10-17 19:42:52.895,83c8c23779fed513bf54b2caa651454b,0.02,-0.84,-0.39,0.99,-65.07,0.93,-88.91
2024-10-17 19:42:53.002,83c8c23779fed513bf54b2caa651454b,-0.02,-0.84,-0.4,-0.98,-64.4,0.94,-91.09
