timestamp,device_id,x,y,z,pitch,roll,acceleration,inclination
2024-09-10 18:55:14.178,83c8c23779fed513bf54b2caa651454b,-0.01,-0.86,-0.42,-0.71,-63.85,0.96,-90.8
2024-09-10 18:55:14.278,83c8c23779fed513bf54b2caa651454b,0,-0.86,-0.45,-0.24,-62.37,0.97,-90.27
2024-09-10 18:55:14.378,83c8c23779fed513bf54b2caa651454b,-0.01,-0.85,-0.43,-0.48,-63,0.95,-90.54
2024-09-10 18:55:14.479,83c8c23779fed513bf54b2caa651454b,-0.01,-0.88,-0.44,-0.47,-63.74,0.99,-90.52
2024-09-10 18:55:14.579,83c8c23779fed513bf54b2caa651454b,-0.02,-0.86,-0.44,-1.19,-62.88,0.97,-91.33
2024-09-10 18:55:14.679,83c8c23779fed513bf54b2caa651454b,-0.01,-0.85,-0.44,-0.72,-62.57,0.96,-90.81
2024-09-10 18:55:14.779,83c8c23779fed513bf54b2caa651454b,-0.01,-0.88,-0.43,-0.47,-64.16,0.98,-90.52
2024-09-10 18:55:14.879,83c8c23779fed513bf54b2caa651454b,0,-0.9,-0.44,-0.23,-64.15,1,-90.25
2024-09-10 18:55:14.979,83c8c23779fed513bf54b2caa651454b,-0.01,-0.88,-0.44,-0.47,-63.33,0.98,-90.52
2024-09-10 18:55:15.079,83c8c23779fed513bf54b2caa651454b,0,-0.83,-0.48,0.24,-59.9,0.96,-89.72
2024-09-10 18:55:15.179,83c8c23779fed513bf54b2caa651454b,0,-0.8,-0.52,0.24,-57.18,0.95,-89.71
2024-09-10 18:55:15.279,83c8c23779fed513bf54b2caa651454b,0.01,-0.8,-0.52,0.72,-57.1,0.96,-89.14
2024-09-10 18:55:15.379,83c8c23779fed513bf54b2caa651454b,0.01,-0.78,-0.56,0.71,-54.46,0.96,-89.12
2024-09-10 18:55:15.479,83c8c23779fed513bf54b2caa651454b,0.01,-0.76,-0.6,0.71,-52.04,0.97,-89.1
2024-09-10 18:55:15.580,83c8c23779fed513bf54b2caa651454b,0,-0.73,-0.65,0,-48.48,0.98,-90
2024-09-10 18:55:15.679,83c8c23779fed513bf54b2caa651454b,0.01,-0.69,-0.68,0.71,-45.5,0.97,-89.01
2024-09-10 18:55:15.780,83c8c23779fed513bf54b2caa651454b,0.01,-0.66,-0.7,0.72,-43.14,0.96,-88.95
2024-09-10 18:55:15.880,83c8c23779fed513bf54b2caa651454b,0.01,-0.64,-0.72,0.48,-41.3,0.96,-89.28
2024-09-10 18:55:15.980,83c8c23779fed513bf54b2caa651454b,0.02,-0.58,-0.76,0.96,-37.34,0.96,-88.42
2024-09-10 18:55:16.080,83c8c23779fed513bf54b2caa651454b,0.02,-0.54,-0.78,0.96,-34.89,0.95,-88.32
2024-09-10 18:55:16.180,83c8c23779fed513bf54b2caa651454b,0.02,-0.52,-0.82,1.42,-32.17,0.97,-87.34
2024-09-10 18:55:16.280,83c8c23779fed513bf54b2caa651454b,0.02,-0.46,-0.85,1.19,-28.26,0.96,-87.49
2024-09-10 18:55:16.380,83c8c23779fed513bf54b2caa651454b,0.03,-0.42,-0.88,1.88,-25.5,0.98,-85.64
2024-09-10 18:55:16.480,83c8c23779fed513bf54b2caa651454b,0.03,-0.4,-0.88,1.89,-24.12,0.97,-85.38
2024-09-10 18:55:16.580,83c8c23779fed513bf54b2caa651454b,0.03,-0.33,-0.92,1.64,-19.54,0.98,-85.12
2024-09-10 18:55:16.680,83c8c23779fed513bf54b2caa651454b,0.02,-0.28,-0.93,1.41,-16.94,0.97,-85.17
2024-09-10 18:55:16.780,83c8c23779fed513bf54b2caa651454b,0.03,-0.26,-0.96,1.61,-14.87,1,-83.76
2024-09-10 18:55:16.880,83c8c23779fed513bf54b2caa651454b,0.03,-0.24,-0.95,1.63,-14.14,0.98,-83.35
2024-09-10 18:55:16.980,83c8c23779fed513bf54b2caa651454b,0.02,-0.18,-0.96,1.41,-10.89,0.97,-82.57
2024-09-10 18:55:17.081,83c8c23779fed513bf54b2caa651454b,0.02,-0.16,-0.98,1.16,-9.31,0.99,-82.87
2024-09-10 18:55:17.180,83c8c23779fed513bf54b2caa651454b,0.02,-0.16,-0.98,1.15,-9.46,1,-83.05
2024-09-10 18:55:17.281,83c8c23779fed513bf54b2caa651454b,0.01,-0.16,-0.97,0.47,-9.39,0.98,-87.14
2024-09-10 18:55:17.381,83c8c23779fed513bf54b2caa651454b,0.02,-0.14,-0.98,0.93,-7.9,0.99,-83.29
2024-09-10 18:55:17.481,83c8c23779fed513bf54b2caa651454b,0.02,-0.12,-0.99,0.92,-6.92,1,-82.41
2024-09-10 18:55:17.581,83c8c23779fed513bf54b2caa651454b,0.02,-0.12,-0.98,1.39,-6.98,0.99,-78.69
2024-09-10 18:55:17.681,83c8c23779fed513bf54b2caa651454b,0,-0.11,-0.97,-0.24,-6.6,0.97,-92.05
2024-09-10 18:55:17.781,83c8c23779fed513bf54b2caa651454b,0.02,-0.1,-0.96,0.95,-6.16,0.97,-81.25
2024-09-10 18:55:17.881,83c8c23779fed513bf54b2caa651454b,0.02,-0.09,-0.98,1.17,-5.38,0.98,-77.74
2024-09-10 18:55:17.981,83c8c23779fed513bf54b2caa651454b,0.02,-0.1,-0.98,1.16,-5.8,0.99,-78.69
2024-09-10 18:55:18.081,83c8c23779fed513bf54b2caa651454b,0.02,-0.11,-0.96,1.19,-6.42,0.97,-79.51
2024-09-10 18:55:18.181,83c8c23779fed513bf54b2caa651454b,0.02,-0.11,-0.97,1.18,-6.36,0.97,-79.51
2024-09-10 18:55:18.281,83c8c23779fed513bf54b2caa651454b,0.03,-0.11,-0.97,1.64,-6.34,0.98,-75.47
2024-09-10 18:55:18.381,83c8c23779fed513bf54b2caa651454b,0.02,-0.11,-0.97,1.41,-6.57,0.98,-77.91
2024-09-10 18:55:18.482,83c8c23779fed513bf54b2caa651454b,0.02,-0.08,-0.99,0.92,-4.38,1,-78.11
2024-09-10 18:55:18.582,83c8c23779fed513bf54b2caa651454b,0.02,-0.11,-0.98,1.16,-6.49,0.99,-79.88
2024-09-10 18:55:18.681,83c8c23779fed513bf54b2caa651454b,0.03,-0.12,-0.98,1.62,-7.21,0.99,-77.28
2024-09-10 18:55:18.782,83c8c23779fed513bf54b2caa651454b,0.02,-0.1,-0.97,1.41,-6.13,0.97,-77.01
2024-09-10 18:55:18.882,83c8c23779fed513bf54b2caa651454b,0,-0.11,-0.96,0.24,-6.42,0.97,-87.88
2024-09-10 18:55:19.082,83c8c23779fed513bf54b2caa651454b,0.02,-0.1,-0.96,1.42,-5.92,0.97,-76.5
2024-09-10 18:55:19.182,83c8c23779fed513bf54b2caa651454b,0.03,-0.11,-0.97,1.87,-6.34,0.98,-73.5
2024-09-10 18:55:19.282,83c8c23779fed513bf54b2caa651454b,0.02,-0.11,-0.97,1.18,-6.36,0.97,-79.51
2024-09-10 18:55:19.382,83c8c23779fed513bf54b2caa651454b,0.02,-0.11,-0.97,0.94,-6.6,0.97,-81.87
2024-09-10 18:55:19.482,83c8c23779fed513bf54b2caa651454b,0.02,-0.1,-0.96,1.18,-5.69,0.97,-78.23
2024-09-10 18:55:19.582,83c8c23779fed513bf54b2caa651454b,0.04,-0.11,-0.98,2.1,-6.54,0.98,-72.18
2024-09-10 18:55:19.682,83c8c23779fed513bf54b2caa651454b,0.02,-0.11,-0.99,0.92,-6.47,0.99,-81.87
2024-09-10 18:55:19.783,83c8c23779fed513bf54b2caa651454b,0.02,-0.11,-0.98,1.4,-6.31,0.98,-77.47
2024-09-10 18:55:19.883,83c8c23779fed513bf54b2caa651454b,0.02,-0.1,-0.99,1.38,-5.53,1,-75.96
2024-09-10 18:55:19.983,83c8c23779fed513bf54b2caa651454b,0.02,-0.1,-0.98,1.16,-5.83,0.99,-78.69
2024-09-10 18:55:20.083,83c8c23779fed513bf54b2caa651454b,0.02,-0.1,-0.98,1.4,-5.62,0.98,-75.96
