arbitrary_time,CP3,C3,F5,PO3,PO4,F6,C4,CP4
873.657820217,4230.24609375,-7573.55224609375,-8579.1123046875,67148.296875,71956.625,-23097.240234375,-20321.220703125,-5751.72900390625
873.658134974,4247.34521484375,5117.25244140625,6368.5029296875,68168.4765625,73039.8359375,835.3740234375,2122.364990234375,-5658.5224609375
873.658410231,4323.921875,9494.8857421875,10719.1796875,68150.640625,72852.890625,18055.021484375,18912.12109375,-5601.927734375
873.658648737,4387.62451171875,3333.047119140625,4604.07861328125,67510.59375,72069.4140625,4808.46337890625,6968.91552734375,-5612.9248046875
873.658839866,4284.4267578125,-8648.58203125,-9664.4013671875,66884.03125,71575.484375,-23086.578125,-20038.515625,-5721.62109375
873.658991745,4214.0185546875,2108.484619140625,2862.9228515625,68001.0390625,72883.9375,-6618.015625,-4898.7197265625,-5705.05859375
873.659143374,4304.87841796875,9369.9619140625,10688.7373046875,68216.015625,72940.6640625,16039.54296875,16908.244140625,-5614.265625
873.659345379,4362.00927734375,6389.22314453125,7853.03857421875,67769.96875,72344.671875,11774.763671875,13503.3134765625,-5628.21337890625
873.659527883,4350.140625,-7276.36376953125,-7831.04443359375,66847.015625,71425.8203125,-18685.810546875,-15587.3896484375,-5679.7119140625
873.659692637,4202.41796875,-1494.52685546875,-1501.2994384765625,67761.515625,72632.2734375,-14041.095703125,-11909.74609375,-5740.6650390625
873.659881267,4297.30126953125,8692.9052734375,10084.9716796875,68260.0078125,73008.2578125,12012.876953125,12948.1630859375,-5621.57470703125
873.6602269,4345.84912109375,8370.8388671875,9676.6728515625,67960.1328125,72547.8515625,16175.8662109375,17522.201171875,-5632.37060546875
873.660528032,4386.81982421875,-3832.474365234375,-3689.646728515625,66998.4296875,71505.8828125,-10967.3515625,-8025.3037109375,-5651.8837890625
873.660788789,4211.33642578125,-5152.3896484375,-5867.533203125,67432.4140625,72264.0078125,-20198.173828125,-17613.73046875,-5751.9970703125
873.661008294,4270.5458984375,7128.84228515625,8547.7978515625,68243.84375,73042.65625,6257.86181640625,7409.1328125,-5635.25390625
873.661260675,4330.82861328125,9376.3994140625,10585.6728515625,68093.109375,72718.640625,18178.26953125,19253.09765625,-5615.3388671875
873.774957811,4399.76171875,440.2175598144531,1299.3961181640625,67294.4765625,71787.046875,-1779.98095703125,771.5374145507812,-5620.63623046875
873.77532807,4239.2314453125,-7809.720703125,-8953.0791015625,67082.78125,71814.265625,-23424.669921875,-20549.20703125,-5754.076171875
873.77576383,4235.14111328125,4690.177734375,5717.73193359375,68138.5703125,72973.5859375,-865.6159057617188,538.4534301757812,-5677.029296875
873.776174465,4316.009765625,9713.4189453125,10773.427734375,68177.3984375,72853.2890625,17700.970703125,18564.23828125,-5610.17529296875
873.776536974,4379.7119140625,4357.85205078125,5538.2919921875,67588.8515625,72121.984375,6612.31591796875,8646.3017578125,-5621.03857421875
873.776914858,4300.45263671875,-8319.2734375,-9469.6728515625,66870.890625,71521.84375,-22485.494140625,-19429.251953125,-5712.6357421875
873.777270117,4214.89013671875,1521.818359375,1889.683349609375,67968.3125,72850.40625,-8481.8828125,-6694.65966796875,-5704.38818359375
873.777648251,4301.12353515625,9464.4423828125,10571.5244140625,68234.0546875,72966.75,15172.2509765625,16017.0126953125,-5610.37646484375
873.777991134,4352.21923828125,7143.9296875,8341.1337890625,67822.9375,72399.796875,12953.9970703125,14559.4326171875,-5626.20166015625
873.778318017,4362.68017578125,-6383.92578125,-7041.603515625,66873.9765625,71431.453125,-17154.3359375,-14084.81640625,-5660.53369140625
873.778589524,4203.89306640625,-2219.796142578125,-2632.0517578125,67695.6015625,72558.046875,-15709.228515625,-13483.5986328125,-5732.6181640625
873.778877531,4286.974609375,8495.4951171875,9695.4482421875,68263.15625,73028.0390625,10743.3203125,11688.1953125,-5613.5283203125
873.779136287,4343.50244140625,8790.068359375,9848.4013671875,68000.640625,72609.609375,16834.818359375,18073.462890625,-5613.86328125
873.779406544,4396.87841796875,-2729.48291015625,-2642.177001953125,67062.8046875,71575.6171875,-8887.96875,-6046.77197265625,-5629.8896484375
873.77965905,4216.29833984375,-5758.70263671875,-6830.8486328125,67346.78125,72167.3828125,-21260.462890625,-18613.45703125,-5749.91845703125
873.779909431,4266.58984375,6699.15234375,7841.974609375,68231.7734375,73052.84375,4648.0,5820.7958984375,-5634.1142578125
873.783835401,4330.62744140625,9553.5595703125,10520.4951171875,68121.8046875,72774.4296875,18251.494140625,19221.044921875,-5605.548828125
873.784257037,4397.07958984375,1417.3463134765625,2190.76123046875,67363.8125,71882.796875,217.5271453857422,2635.203369140625,-5614.265625
873.784561419,4256.12939453125,-8108.31787109375,-9472.623046875,67035.4453125,71772.7578125,-23669.48828125,-20723.216796875,-5729.33251953125
873.784811675,4232.056640625,4053.22021484375,4828.84814453125,68125.765625,72985.921875,-2583.034423828125,-1097.492919921875,-5669.8544921875
873.785088682,4312.58984375,9714.357421875,10718.375,68206.828125,72899.6953125,17431.20703125,18242.306640625,-5603.3359375
873.785400814,4372.40283203125,5000.50927734375,6115.77197265625,67659.796875,72206.34375,8250.810546875,10172.478515625,-5616.9482421875
873.785657946,4313.796875,-8188.5830078125,-9364.3291015625,66862.0390625,71493.0078125,-21699.138671875,-18610.640625,-5693.92724609375
873.785876576,4205.30126953125,620.5961303710938,761.8814697265625,67922.6484375,72806.953125,-10186.560546875,-8324.705078125,-5708.2099609375
873.786107207,4304.2080078125,9329.259765625,10483.2802734375,68275.4296875,73011.609375,14580.890625,15362.9560546875,-5596.02685546875
873.78643834,4352.48779296875,7519.17041015625,8672.1181640625,67883.890625,72461.015625,14182.11328125,15630.103515625,-5615.3388671875
873.786697346,4365.83154296875,-5870.08154296875,-6419.9345703125,66897.6484375,71445.1953125,-15542.7978515625,-12567.2890625,-5655.97412109375
873.786930351,4195.4443359375,-3188.811279296875,-3834.8212890625,67622.046875,72485.2890625,-17220.51953125,-14959.2158203125,-5747.10205078125
873.787194483,4275.240234375,8189.3876953125,9384.2451171875,68273.8203125,73056.3359375,9676.6728515625,10558.11328125,-5624.32421875
873.787461739,4333.98046875,9007.05859375,10049.1640625,68031.4140625,72653.0625,17576.91796875,18615.134765625,-5615.271484375
873.787711245,4385.88134765625,-1934.945556640625,-1706.1531982421875,67116.2421875,71631.7421875,-6810.59814453125,-4172.77978515625,-5636.86328125
873.787949876,4211.73876953125,-6563.767578125,-7773.98046875,67261.015625,72073.171875,-22154.443359375,-19554.779296875,-5758.30029296875
873.899624338,4244.998046875,6225.943359375,7308.88525390625,68217.6953125,73055.0625,3279.536865234375,4383.66845703125,-5655.5048828125
873.90013685,4321.03857421875,9731.1884765625,10731.7197265625,68153.859375,72823.71875,18582.74609375,19383.38671875,-5606.95654296875
873.900554985,4389.9716796875,2278.067138671875,3139.05615234375,67438.78125,71973.9296875,2316.0205078125,4535.8837890625,-5611.5166015625
873.900879618,4264.578125,-8433.8037109375,-9846.6572265625,66978.2421875,71701.8828125,-23628.71875,-20702.83203125,-5721.2861328125
873.90116225,4220.32177734375,3344.915771484375,4004.470947265625,68091.6328125,72968.5546875,-4157.75927734375,-2682.477294921875,-5674.61572265625
873.901463382,4309.572265625,9803.0712890625,10891.1767578125,68229.296875,72944.015625,17290.390625,17999.56640625,-5587.97998046875
873.90178014,4369.45263671875,5685.076171875,6858.0732421875,67705.6640625,72270.3125,9995.3193359375,11735.201171875,-5604.9453125
873.902059897,4330.42626953125,-7854.84912109375,-8917.0712890625,66851.4453125,71471.6875,-20530.767578125,-17505.50390625,-5677.36474609375
873.902426156,4204.4296875,-164.8887939453125,-196.40475463867188,67869.8828125,72760.3515625,-11743.2470703125,-9844.7802734375,-5709.35009765625
873.902758289,4291.06494140625,9195.4169921875,10412.1337890625,68266.9765625,73026.0234375,13812.7724609375,14537.9755859375,-5603.8720703125
873.903081172,4343.63623046875,7953.2861328125,9115.95703125,67912.5234375,72516.875,15303.544921875,16592.48046875,-5618.82568359375
873.903374804,4373.40869140625,-5071.65478515625,-5393.05078125,66928.5546875,71474.6328125,-13583.376953125,-10722.8681640625,-5653.82861328125
873.903662311,4195.10888671875,-4038.468017578125,-4778.22119140625,67535.8125,72398.859375,-18488.6015625,-16189.880859375,-5759.0380859375
873.903955568,4271.5517578125,7851.5634765625,9138.6884765625,68259.671875,73058.4140625,8502.53515625,9387.5302734375,-5637.869140625
873.904385953,4339.88134765625,9251.609375,10355.9423828125,68062.7265625,72693.765625,18157.951171875,19117.244140625,-5618.22216796875
873.904698211,4399.359375,-918.5895385742188,-419.69866943359375,67192.5546875,71708.0546875,-4516.37060546875,-1965.3216552734375,-5635.38818359375
873.909478577,4227.09423828125,-7159.5537109375,-8350.3203125,67189.5390625,71974.6640625,-22734.939453125,-20033.955078125,-5764.0
873.909837086,4252.0390625,5668.2451171875,6824.00927734375,68199.390625,73047.015625,1810.35693359375,3006.95751953125,-5660.265625
873.910198219,4332.63916015625,9842.298828125,11008.5234375,68172.4296875,72858.5859375,18699.623046875,19479.140625,-5599.04443359375
873.910466726,4388.8984375,3208.05615234375,4394.06201171875,67492.359375,72038.1640625,4530.4521484375,6639.67431640625,-5621.03857421875
873.910714857,4284.359375,-8541.896484375,-9659.1708984375,66915.8828125,71621.75,-23103.67578125,-20134.470703125,-5719.14013671875
873.910950238,4218.0419921875,2525.5009765625,3272.563232421875,68035.4375,72930.8046875,-5845.67333984375,-4243.0537109375,-5690.37353515625
