arbitrary_time,CP3,C3,F5,PO3,PO4,F6,C4,CP4
141.270631407,-49718.23046875,-2875.260986328125,-6550.75927734375,12230.6044921875,8940.00390625,-21440.103515625,-6175.11572265625,-69093.8359375
141.271157544,-69513.734375,-5917.82470703125,-8387.4013671875,567.0860595703125,-6516.89599609375,-27831.740234375,-6133.876953125,-88686.5
141.271563929,-110215.921875,1201.8978271484375,3036.797119140625,-34085.2421875,-45550.2109375,772.4091186523438,2466.22412109375,-129302.9296875
141.271949189,-99339.3671875,5232.78857421875,6267.9873046875,-29487.1328125,-38202.76953125,12443.9072265625,4530.4521484375,-118595.75
141.272474326,-57141.578125,-609.129638671875,-3375.56005859375,5282.74462890625,1380.734130859375,-13585.1201171875,-4086.2783203125,-76532.2734375
141.272871961,-57634.97265625,-6392.84423828125,-9847.7978515625,9338.78125,3952.100830078125,-30692.181640625,-7422.87939453125,-76862.1875
141.273265971,-102812.890625,-1275.3233642578125,18.574296951293945,-27047.396484375,-37977.46484375,-7794.49951171875,99.44290161132812,-121886.5546875
141.273613854,-107966.21875,4863.91796875,6940.8193359375,-35642.734375,-45680.43359375,13800.099609375,5377.96337890625,-127148.3046875
141.273949487,-67728.125,1242.66748046875,-101.45455932617188,-3903.68701171875,-8873.5517578125,-5098.67822265625,-1571.3050537109375,-87098.1015625
141.27425487,-49611.2109375,-6074.33154296875,-9862.5498046875,14572.9111328125,10552.8828125,-30130.4609375,-7786.9892578125,-68895.2890625
141.274626004,-92177.9375,-3581.084228515625,-3310.449462890625,-17727.724609375,-27614.482421875,-16390.576171875,-2343.37890625,-111267.5546875
141.274989637,-112773.4140625,3994.077392578125,6446.287109375,-38371.28125,-49389.32421875,11631.1982421875,5190.07421875,-131907.828125
141.275252519,-79452.1953125,3184.385498046875,2779.439208984375,-13733.513671875,-19953.35546875,2858.63134765625,998.8546142578125,-98792.3984375
141.275520275,-47405.96484375,-4410.69140625,-8411.8095703125,15026.1376953125,11698.9912109375,-26143.291015625,-7190.2646484375,-66751.734375
