1322.352139208,-105975.3515625,-162161.734375,3834.4189453125,-132023.15625,-117694.2578125,4851.17724609375,-161699.3125,-135757.734375
1322.352529841,-102954.515625,-158918.0,214.9790496826172,-128755.21875,-114599.9296875,205.79248046875,-158538.796875,-132608.484375
1322.352875347,-98504.4609375,-154002.453125,-6020.41943359375,-123768.7265625,-109762.96875,-7574.8935546875,-153734.625,-127820.875
1322.353208104,-102013.2578125,-157706.71875,-2874.724609375,-127511.0078125,-113090.4453125,-3729.6787109375,-157338.25,-131399.546875
1322.35349961,-106471.2265625,-162661.09375,4229.1728515625,-132520.375,-118104.7734375,5131.46826171875,-162191.5,-136241.125
1322.35376499,-103868.2734375,-159916.921875,1232.609130859375,-129736.703125,-115558.75,1650.1619873046875,-159520.6875,-133582.65625
1322.354000244,-99547.84375,-155181.609375,-4260.6220703125,-124946.8828125,-110948.234375,-5540.3037109375,-154895.359375,-128973.078125
1322.354297375,-100031.7109375,-155561.8125,-5374.74462890625,-125359.875,-111056.2578125,-6696.939453125,-155246.453125,-129315.53125
1322.354574506,-106297.1484375,-162424.125,3691.457275390625,-132322.5625,-117811.46875,4294.9541015625,-161953.859375,-136004.21875
1322.354891887,-104659.59375,-160765.03125,2194.516357421875,-130622.171875,-116393.5859375,2977.453125,-160340.171875,-134402.875
1322.355165767,-100878.5546875,-156652.546875,-2374.1572265625,-126451.3359375,-112410.3046875,-3231.592529296875,-156330.609375,-130410.6796875
1322.355424397,-98649.1640625,-154092.296875,-6852.6416015625,-123857.640625,-109696.1796875,-8458.2119140625,-153817.921875,-127895.3046875
1322.355675777,-105309.4921875,-161327.15625,1940.645263671875,-131190.671875,-116655.5703125,2071.872314453125,-160882.65625,-134931.40625
1322.355923657,-105509.453125,-161682.421875,3200.411865234375,-131538.015625,-117252.8359375,4190.482421875,-161236.03125,-135288.609375
1322.356282539,-102152.734375,-158057.953125,-769.5257568359375,-127862.8515625,-113759.9921875,-1156.09912109375,-157702.6875,-131768.609375
1322.36014674,-98218.1328125,-153671.671875,-6799.80224609375,-123422.65625,-109378.0703125,-8480.943359375,-153407.53125,-127490.4921875
1322.360491247,-103506.6484375,-159338.4375,-676.85546875,-129178.7421875,-114693.8046875,-1112.379150390625,-158929.0,-132990.828125
1322.360776252,-106168.9375,-162355.59375,4057.9140625,-132236.390625,-117890.734375,5074.60546875,-161892.703125,-135953.59375
1322.361010757,-103196.046875,-159187.359375,528.2610473632812,-129026.390625,-114879.4140625,610.6719360351562,-158808.03125,-132880.59375
1322.361271012,-98651.515625,-154186.984375,-5658.052734375,-123944.9453125,-109934.765625,-7189.59423828125,-153917.15625,-128000.984375
1322.361511642,-101477.15625,-157135.671875,-3541.7900390625,-126945.0625,-112535.03125,-4525.490234375,-156776.125,-130837.75
1322.361753271,-106490.671875,-162683.15625,4209.66015625,-132559.390625,-118102.7578125,5064.27880859375,-162208.0,-136252.734375
1322.362098278,-104109.9453125,-160181.984375,1504.7862548828125,-130039.0625,-115829.921875,2036.198974609375,-159773.09375,-133835.71875
1322.362364158,-99851.3359375,-155521.109375,-3810.681396484375,-125320.921875,-111304.3671875,-5007.68408203125,-155223.265625,-129306.0078125
1322.36270129,-99630.5859375,-155140.78125,-5870.953125,-124931.2578125,-110669.1484375,-7309.28759765625,-154831.59375,-128902.3359375
1322.36297292,-106169.4765625,-162289.53125,3415.52490234375,-132159.609375,-117653.21875,3913.27587890625,-161816.59375,-135861.46875
1322.363244926,-104870.078125,-160994.828125,2440.5419921875,-130846.46875,-116624.4609375,3301.866455078125,-160567.421875,-134626.171875
1322.363504056,-101172.5234375,-156973.671875,-1950.10009765625,-126790.4375,-112727.4765625,-2680.867919921875,-156650.1875,-130727.9140625
1322.363760061,-98408.375,-153838.09375,-6988.96484375,-123626.8359375,-109489.5859375,-8631.7509765625,-153575.578125,-127660.6796875
1322.36399994,-104974.5546875,-160956.546875,1474.4102783203125,-130839.765625,-116286.1015625,1463.94970703125,-160518.546875,-134571.453125
1322.364282946,-105643.8984375,-161822.296875,3418.006103515625,-131693.921875,-117367.5,4421.0849609375,-161370.078125,-135421.71875
1322.476779526,-102409.4921875,-158347.96875,-421.2409362792969,-128159.90625,-114032.640625,-680.8117065429688,-157985.59375,-132052.0625
1322.477158158,-98177.03125,-153647.921875,-6699.5546875,-123390.1953125,-109371.296875,-8355.1484375,-153392.515625,-127476.9453125
1322.477648168,-103074.875,-158884.265625,-1326.754638671875,-128703.3828125,-114236.421875,-1900.8814697265625,-158491.1875,-132552.6875
1322.478034551,-106290.7109375,-162505.046875,4111.35693359375,-132359.4375,-117995.1328125,5115.576171875,-162034.390625,-136090.1875
1322.478406558,-103431.75,-159463.625,728.8232421875,-129277.6484375,-115124.5,928.4466552734375,-159073.5,-133138.15625
1322.478816566,-98925.1640625,-154503.078125,-5293.13818359375,-124245.890625,-110261.5859375,-6766.4755859375,-154228.09375,-128308.09375
1322.479197823,-101063.5546875,-156693.90625,-4201.4794921875,-126480.171875,-112120.828125,-5303.12939453125,-156346.296875,-130414.4375
1322.479677333,-106519.9765625,-162712.921875,4129.72998046875,-132573.609375,-118129.109375,4909.6494140625,-162233.34375,-136289.875
1322.480115091,-104267.3203125,-160361.96875,1714.1326904296875,-130195.8359375,-115999.90625,2337.07568359375,-159945.890625,-134011.484375
1322.480524724,-100118.34375,-155833.65625,-3361.076171875,-125606.0390625,-111588.2109375,-4444.15234375,-155531.171875,-129607.421875
